Evaluation_Name,Relevant_Grade,Evaluation_Type,Criteria,Criteria_Value,Passed/Failed
Primer Parcial,7.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Examen Final,10.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP Final,8.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
Segundo Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP4,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP4,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,5.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Segundo Parcial,10.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,4.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP7,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,6.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Primer Parcial,3.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP3,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP8,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP3,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,3.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Examen Final,5.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP4,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP4,10.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Primer Parcial,3.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Segundo Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP4,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP9,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP6,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,9.0,PRACTICAL_WORK,null,0.0,Failed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP4,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP2,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP10,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP8,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,2.0,PRACTICAL_WORK,null,0.0,Failed
TP3,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,1.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,1.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Examen Final,6.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP10,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP10,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,3.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP9,10.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,2.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP5,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,7.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP4,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP3,9.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP9,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,10.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP6,10.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,9.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP5,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP5,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,6.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Segundo Parcial,5.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP9,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP3,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,8.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP10,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP9,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,2.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Examen Final,3.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Segundo Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,6.0,PRACTICAL_WORK,null,0.0,Failed
TP Final,5.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
TP3,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,2.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP Final,3.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Examen Final,8.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Examen Final,1.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP3,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP Final,3.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
TP10,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP8,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,6.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Primer Parcial,7.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP2,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,6.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP2,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,8.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Segundo Parcial,4.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Segundo Parcial,1.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,10.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP1,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP7,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP5,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,9.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP7,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,2.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP9,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,0.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Primer Parcial,2.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,4.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Primer Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Primer Parcial,4.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,3.0,PRACTICAL_WORK,null,0.0,Failed
TP8,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP1,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP Final,3.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
Primer Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP3,9.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP10,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,4.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Segundo Parcial,1.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP8,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP4,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,3.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Examen Final,8.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Primer Parcial,0.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP2,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP7,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,6.0,PRACTICAL_WORK,null,0.0,Failed
Examen Final,4.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Primer Parcial,0.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,1.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP9,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,8.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP1,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP9,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,1.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,5.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Examen Final,4.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
Examen Final,2.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP6,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP8,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP6,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,1.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP4,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,7.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Examen Final,1.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP7,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,6.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP3,10.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP9,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP5,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,5.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP6,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP Final,1.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
TP9,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,10.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP Final,8.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
TP9,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,7.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Primer Parcial,4.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP4,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,10.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP2,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP8,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP4,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,5.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP4,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP Final,8.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
TP3,4.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP4,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,1.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Primer Parcial,9.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Examen Final,9.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP3,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,3.0,FINAL_PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,6.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Segundo Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP6,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,6.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP Final,7.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
TP4,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,7.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Segundo Parcial,2.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,8.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP7,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,6.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Examen Final,2.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP3,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,5.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
Segundo Parcial,5.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP8,7.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP7,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP Final,6.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
Primer Parcial,0.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
Primer Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
Examen Final,5.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP9,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP3,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,6.0,ORAL_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP7,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP1,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP10,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP9,5.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,1.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP Final,7.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Passed
TP4,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP3,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,0.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP1,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Examen Final,5.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Passed
TP8,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
TP9,6.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP1,0.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Segundo Parcial,3.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Failed
TP Final,1.0,FINAL_PRACTICAL_WORK,MAX_ABOVE_VALUE,6.0,Failed
TP1,1.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,1.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP9,9.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Segundo Parcial,5.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP1,4.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,4.0,ORAL_EXAM,MAX_ABOVE_VALUE,4.0,Failed
TP3,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,8.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Passed
Primer Parcial,9.0,WRITTEN_EXAM,MIN_ABOVE_VALUE,4.0,Passed
TP3,2.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
TP2,3.0,PRACTICAL_WORK,AVERAGE_ABOVE_VALUE,6.0,Failed
Examen Final,6.0,WRITTEN_EXAM,MAX_ABOVE_VALUE,4.0,Passed
